50;BRUNO ARMIRAIL;152;DECATHLON AG2R LA MONDIALE TEAM;79h 03' 44'';+ 03h 03' 12''
51;EWEN COSTIOU;133;ARKEA-B&B HOTELS;79h 07' 07'';+ 03h 06' 35''
52;MICHAEL RUSSELL WOODS;201;ISRAEL - PREMIER TECH;79h 07' 31'';+ 03h 06' 59''
53;AXEL LAURANCE;65;INEOS GRENADIERS;79h 10' 42'';+ 03h 10' 10''
54;TIESJ BENOOT;13;TEAM VISMA | LEASE A BIKE;79h 10' 51'';+ 03h 10' 19''
55;ALEXANDRE DELETTRE;183;TOTALENERGIES;79h 13' 00'';+ 03h 12' 28''
56;JULIAN ALAPHILIPPE;111;TUDOR PRO CYCLING TEAM;79h 13' 52'';+ 03h 13' 20''
57;ANDREAS LEKNESSUND;227;UNO-X MOBILITY;79h 15' 16'';+ 03h 14' 44''
58;GERAINT THOMAS;61;INEOS GRENADIERS;79h 15' 29'';+ 03h 14' 57''
59;QUINN SIMMONS;84;LIDL-TREK;79h 18' 08'';+ 03h 17' 36''
60;THOMAS GACHIGNARD;184;TOTALENERGIES;79h 23' 46'';+ 03h 23' 14''
61;MATHIS LE BERRE;136;ARKEA-B&B HOTELS;79h 26' 00'';+ 03h 25' 28''
62;JASPER STUYVEN;87;LIDL-TREK;79h 26' 43'';+ 03h 26' 11''
63;MATHIEU BURGAUDEAU;182;TOTALENERGIES;79h 26' 50'';+ 03h 26' 18''
64;MARKUS HOELGAARD;225;UNO-X MOBILITY;79h 27' 01'';+ 03h 26' 29''
65;EMIEL VERSTRYNGE;108;ALPECIN-DECEUNINCK;79h 28' 33'';+ 03h 28' 01''
66;JENNO BERCKMOES;212;LOTTO;79h 33' 44'';+ 03h 33' 12''
67;WOUT VAN AERT;17;TEAM VISMA | LEASE A BIKE;79h 34' 28'';+ 03h 33' 56''
68;MAXIMILIAN SCHACHMANN;26;SOUDAL QUICK-STEP;79h 35' 33'';+ 03h 35' 01''
69;ION IZAGIRRE INSAUSTI;164;COFIDIS;79h 35' 34'';+ 03h 35' 02''
70;TOBIAS SVENDSEN FOSS;63;INEOS GRENADIERS;79h 35' 47'';+ 03h 35' 15''
71;JONAS ABRAHAMSEN;222;UNO-X MOBILITY;79h 36' 53'';+ 03h 36' 21''
